Altium Designer Pick and Place Locations
C:\Users\talha\OneDrive\Belgeler\Altium\WeldingMachine\PowerBoard\MiniESC_Project\Project Outputs for MiniESC_Project\Pick Place for MiniESC.txt

========================================================================================================================
File Design Information:

Date:       26.07.25
Time:       01:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                  Layer       Footprint  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                          
CN11       "2 Pin SMD"              TopLayer    2_Pin_SMD  2645.669      5688.976      270      "2 Pin SMD"                                                                                                          
C60        CL10B103KB8NNNC          BottomLayer CAP_0603   2669.291      5688.977      180      "50V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                           
C59        CL10B103KB8NNNC          BottomLayer CAP_0603   2669.291      5625.984      180      "50V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                           
C58        CL10B103KB8NNNC          BottomLayer CAP_0603   2669.291      5562.992      180      "50V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                           
C57        CL10B103KB8NNNC          BottomLayer CAP_0603   2716.536      5444.882      270      "50V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                           
FD8        Fidicual_Square          BottomLayer FD_Square  5354.331      6866.142      180      Fidicual_Square                                                                                                      
FD7        Fidicual_Rounded         BottomLayer FD_Rounded 5208.647      6866.130      180      Fidicual_Rounded                                                                                                     
FD6        Fidicual_Square          BottomLayer FD_Square  3137.795      4696.850      180      Fidicual_Square                                                                                                      
FD5        Fidicual_Rounded         BottomLayer FD_Rounded 2996.049      4696.850      180      Fidicual_Rounded                                                                                                     
D10        SS2060FL_R1_00001        TopLayer    SOD123-FL  5271.653      4866.142      180      "Schottky-diode 2A 60V SOD123FL"                                                                                     
D9         SS2060FL_R1_00001        TopLayer    SOD123-FL  4295.275      4866.142      180      "Schottky-diode 2A 60V SOD123FL"                                                                                     
D8         SS2060FL_R1_00001        TopLayer    SOD123-FL  5271.653      5553.150      180      "Schottky-diode 2A 60V SOD123FL"                                                                                     
D7         SS2060FL_R1_00001        TopLayer    SOD123-FL  4295.275      5553.150      180      "Schottky-diode 2A 60V SOD123FL"                                                                                     
D6         SS2060FL_R1_00001        TopLayer    SOD123-FL  5271.653      6240.158      180      "Schottky-diode 2A 60V SOD123FL"                                                                                     
D5         SS2060FL_R1_00001        TopLayer    SOD123-FL  4295.275      6240.158      180      "Schottky-diode 2A 60V SOD123FL"                                                                                     
R45        RC0603FR-0710KL          TopLayer    RES_0603   5464.567      5023.622      0        "SMD Chip Resistor, 10 Kohm, ½ 1%, 100 Mw, 0603 [1608 Metric], Thick Film, General Purpose"                          
R44        RC0603FR-0710KL          TopLayer    RES_0603   5417.323      5438.976      270      "SMD Chip Resistor, 10 Kohm, ½ 1%, 100 Mw, 0603 [1608 Metric], Thick Film, General Purpose"                          
R43        RC0603FR-0710KL          TopLayer    RES_0603   5417.323      6125.984      270      "SMD Chip Resistor, 10 Kohm, ½ 1%, 100 Mw, 0603 [1608 Metric], Thick Film, General Purpose"                          
SC4        Screw_M3                 TopLayer    SCREW_M3   2799.213      6771.654      0        "Screw hole Metric 3"                                                                                                
SC3        Screw_M3                 TopLayer    SCREW_M3   5555.118      6771.654      0        "Screw hole Metric 3"                                                                                                
SC2        Screw_M3                 TopLayer    SCREW_M3   5555.118      4803.150      0        "Screw hole Metric 3"                                                                                                
SC1        Screw_M3                 TopLayer    SCREW_M3   2799.213      4803.150      0        "Screw hole Metric 3"                                                                                                
FD4        Fidicual_Square          TopLayer    FD_Square  3137.795      4696.850      180      Fidicual_Square                                                                                                      
FD3        Fidicual_Rounded         TopLayer    FD_Rounded 2996.049      4696.850      180      Fidicual_Rounded                                                                                                     
FD2        Fidicual_Square          TopLayer    FD_Square  4712.598      6866.142      0        Fidicual_Square                                                                                                      
FD1        Fidicual_Rounded         TopLayer    FD_Rounded 4570.853      6866.142      0        Fidicual_Rounded                                                                                                     
X1         AS-8.000-16-SMD-TR       BottomLayer HC-49/US   3200.787      5236.221      0        "CRYSTAL 8MHz HC49SMT 16pF SMD TR RALTRON"                                                                           
U9         LMV321ILT                BottomLayer SOT23-5    5056.242      4692.914      180      "LMV321 Series 6 V 1 MHz Low Power Rail to Rail Operational Amplifier - SOT-23-5"                                    
U8         LMV321ILT                BottomLayer SOT23-5    5630.569      5397.012      0        "LMV321 Series 6 V 1 MHz Low Power Rail to Rail Operational Amplifier - SOT-23-5"                                    
U7         LMV321ILT                BottomLayer SOT23-5    5631.391      5944.881      0        "LMV321 Series 6 V 1 MHz Low Power Rail to Rail Operational Amplifier - SOT-23-5"                                    
U6         LMV321ILT                BottomLayer SOT23-5    5637.651      6488.307      0        "LMV321 Series 6 V 1 MHz Low Power Rail to Rail Operational Amplifier - SOT-23-5"                                    
U5         LMV321ILT                BottomLayer SOT23-5    3555.118      6559.055      90       "LMV321 Series 6 V 1 MHz Low Power Rail to Rail Operational Amplifier - SOT-23-5"                                    
U4         AP2204K-3.3TRG1          TopLayer    SOT23-5    3488.189      5881.890      270      "Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 150mA SOT-23-5"                                            
U3         LMR62014XMF/NOPB         TopLayer    SOT23-5    3242.126      5850.394      90       "SIMPLE SWITCHER® 2.7V to 14V, 1.4A Step-Up Regulator in SOT-23 Package 5-SOT-23 -40 to 125"                         
U2         INA180B1IDBVR            BottomLayer SOT23-5    3354.331      6559.055      90       "26V, 350kHz current sense amplifier 5-SOT-23 -40 to 125"                                                            
